"Benchmark file","TAM count","Init time(ms)","Init TT","Init TSV","SA time(ms)","SA TT","SA TSV","WU time(ms)","WU TT","WU TSV","TT Reduction","TSV Reduction"
"d281.soc","5","0","177","38","133","190","28","574","183","66","-3.825137 %","57.575758 %"
"d281.soc","6","0","158","24","122","168","28","323","160","66","-5.000000 %","57.575758 %"
"d281.soc","7","0","128","42","123","158","28","421","135","68","-17.037037 %","58.823529 %"
"d281.soc","8","0","126","32","110","128","32","418","128","94","0.000000 %","65.957447 %"
"a586710.soc","5","0","8999","23","41","8606","23","49","8606","47","0.000000 %","51.063830 %"
"a586710.soc","6","0","6922","24","44","7612","21","71","11553","43","34.112352 %","51.162791 %"
"a586710.soc","7","0","6850","18","44","7612","25","40","6858","51","-10.994459 %","50.980392 %"
"a586710.soc","8","0","4767","22","52","7251","23","25","4781","55","-51.662832 %","58.181818 %"
"d695.soc","5","0","1296","64","1539","1293","49","102283","1309","83","1.222307 %","40.963855 %"
"d695.soc","6","0","1070","83","1276","1076","53","155731","1278","103","15.805947 %","48.543689 %"
"d695.soc","7","0","926","91","1131","932","55","39431","919","97","-1.414581 %","43.298969 %"
"d695.soc","8","0","825","130","1021","828","41","28923","815","121","-1.595092 %","66.115702 %"
"f2126.soc","5","0","2953","30","82","2953","43","144","3088","61","4.371762 %","29.508197 %"
"f2126.soc","6","0","2407","34","78","2498","39","176","3726","59","32.957595 %","33.898305 %"
"f2126.soc","7","0","2088","34","92","2318","39","181","2726","65","14.966985 %","40.000000 %"
"f2126.soc","8","0","1955","29","89","2767","48","155","1955","73","-41.534527 %","34.246575 %"
"g1023.soc","5","0","314","27","133","374","29","354","396","105","5.555556 %","72.380952 %"
"g1023.soc","6","0","268","38","155","265","33","399","362","97","26.795580 %","65.979381 %"
"g1023.soc","7","0","223","18","130","242","35","354","236","113","-2.542373 %","69.026549 %"
