Benchmark file,TAM count,Init time(ms),Init TT,Init TSV,SA time(ms),SA TT,SA TSV,WU time(ms),WU TT,WU TSV,TT Reduction,TSV Reduction
d281.soc,5,0,177,29,122,179,5,592,186,5,3.76%,0.00%
d281.soc,6,0,158,42,122,160,2,608,158,9,-1.27%,77.78%
d281.soc,7,0,128,33,115,133,4,825,142,17,6.34%,76.47%
d281.soc,8,0,126,31,111,128,2,520,134,13,4.48%,84.62%
a586710.soc,5,0,8999,12,40,8606,2,80,9398,4,8.43%,50.00%
a586710.soc,6,0,6922,17,37,7221,1,55,9398,4,23.16%,75.00%
a586710.soc,7,0,6850,9,37,6850,1,57,7321,8,6.43%,87.50%
a586710.soc,8,0,4767,14,44,6936,0,81,4781,10,-45.07%,100.00%
d695.soc,5,0,1296,48,1521,1282,5,126255,1577,6,18.71%,16.67%
d695.soc,6,0,1070,49,1305,1069,5,115237,1264,8,15.43%,37.50%
d695.soc,7,0,926,68,1138,926,5,102745,930,10,0.43%,50.00%
d695.soc,8,0,825,80,1026,811,5,84808,819,30,0.98%,83.33%
f2126.soc,5,0,2953,23,84,2956,5,192,3725,6,20.64%,16.67%
f2126.soc,6,0,2407,30,84,2551,4,223,2768,6,7.84%,33.33%
f2126.soc,7,0,2088,18,83,2314,3,207,2275,10,-1.71%,70.00%
f2126.soc,8,0,1955,30,89,2222,3,190,2089,14,-6.37%,78.57%
g1023.soc,5,0,314,31,129,325,5,907,320,9,-1.56%,44.44%
g1023.soc,6,0,268,24,121,273,3,1247,349,3,21.78%,0.00%
g1023.soc,7,0,223,36,121,239,5,543,283,11,15.55%,54.55%
g1023.soc,8,0,200,36,119,217,4,559,211,13,-2.84%,69.23%
h953.soc,5,0,962,37,97,1005,7,288,1051,8,4.38%,12.50%
h953.soc,6,0,807,33,97,940,5,519,843,10,-11.51%,50.00%
h953.soc,7,0,699,27,94,774,5,380,777,8,0.39%,37.50%
h953.soc,8,0,619,27,98,725,5,603,721,14,-0.55%,64.29%
p22810.soc,5,0,4945,103,3166,4949,19,728551,5126,4,3.45%,-375.00%
p22810.soc,6,0,4122,108,2623,4132,18,474559,4295,4,3.80%,-350.00%
p22810.soc,7,0,3533,112,2237,3550,17,372734,6042,8,41.24%,-112.50%
p22810.soc,8,0,3096,94,2014,3111,16,360107,3181,8,2.20%,-100.00%
p34392.soc,5,0,4192,45,353,4631,17,5147,4856,5,4.63%,-240.00%
p34392.soc,6,0,3493,55,317,3618,16,5319,4009,5,9.75%,-220.00%
p34392.soc,7,0,2996,56,301,3247,15,4437,3241,11,-0.19%,-36.36%
p34392.soc,8,0,2671,63,299,2949,14,4393,2939,11,-0.34%,-27.27%
q12710.soc,5,0,2851,13,26,2851,3,35,2991,6,4.68%,50.00%
q12710.soc,6,0,2341,8,38,3617,1,29,3119,10,-15.97%,90.00%
q12710.soc,7,0,2070,13,37,2431,1,36,3517,8,30.88%,87.50%
q12710.soc,8,0,1882,10,22,2396,1,17,2660,16,9.92%,93.75%
t512505.soc,5,0,13624,36,365,13850,13,10405,13723,6,-0.93%,-116.67%
t512505.soc,6,0,11372,46,378,11589,13,7308,12055,6,3.87%,-116.67%
t512505.soc,7,0,9746,48,310,10629,11,5599,10693,10,0.60%,-10.00%
t512505.soc,8,0,8687,43,366,9451,10,4360,9495,12,0.46%,16.67%
u226.soc,5,0,208,23,54,208,1,92,208,9,0.00%,88.89%
u226.soc,6,0,208,22,49,208,1,108,208,7,0.00%,85.71%
u226.soc,7,0,156,22,58,208,0,111,156,13,-33.33%,100.00%
u226.soc,8,0,156,22,45,156,0,35,156,13,0.00%,100.00%
